fips,name,lon,lat
51023,Botetourt,-79.81270004550706,37.55583532855288
48405,San Augustine,-94.16794373143357,31.393078617582987
72129,San Lorenzo,-65.97712043414704,18.148783111468433
72143,Vega Alta,-66.33624848542128,18.413978908114508
27017,Carlton,-92.67651209356224,46.592172169828494
12029,Dixie,-83.1578591651551,29.60882797927994
13211,Morgan,-83.49100593968618,33.5902962380916
02188,Northwest Arctic,-159.7240597931014,67.05258541346512
38007,Billings,-103.37672052350577,47.02320534099073
27001,Aitkin,-93.41555249221442,46.60830279502566
08045,Garfield,-107.90398890968596,39.599632064443256
20003,Anderson,-95.29349398237383,38.21410217947053
48269,King,-100.25645268217681,33.61664597114971
40039,Custer,-99.00150351531359,35.63865696272051
39101,Marion,-83.15992899394719,40.58764438851708
17095,Knox,-90.213182288036,40.93153792205761
13013,Barrow,-83.71235432760287,33.99439168599685
17099,LaSalle,-88.8869783998964,41.34367261263698
01031,Coffee,-85.98792922053076,31.402131512255316
12085,Martin,-80.4318365033434,27.077405942679402
19079,Hamilton,-93.70655712409925,42.383799697060915
19083,Hardin,-93.24068850685211,42.38388692944767
16037,Custer,-114.28195293801048,44.241464688017814
13037,Calhoun,-84.62313415490983,31.528195319420284
19093,Ida,-95.51347571184485,42.3870063642278
08105,Rio Grande,-106.38309469616902,37.582113812482945
19125,Marion,-93.09930655000798,41.334653084884835
08087,Morgan,-103.80950836588,40.26276593731634
19157,Poweshiek,-92.53190940357847,41.6867343645895
17179,Tazewell,-89.51389605114669,40.50779326494368
08039,Elbert,-104.13729084336045,39.28681002843204
