,date,text,screen_name,followers_count,friends_count,retweet_count,favorite_count
74,2020-02-16 22:16:18,Should the Astros be stripped of their World Series title? https://t.co/2s69vZhgIS,Cernovich,551074,3027,27,280
75,2020-02-16 22:15:49,RT @ChaskelBennett: It's going to get ugly because fans &amp; players know that the #Astros &amp; most likely the #RedSox got away with cheating. N…,Cernovich,551074,3027,10,0
76,2020-02-16 22:08:44,"RT @subschneider: @NBCNews Active shooter drills are the atomic bomb drills of the 1950s and 1960s. 

They do exactly one thing. 

Incite f…",Cernovich,551074,3027,60,0
77,2020-02-16 22:08:34,RT @TransitoryPhil1: Trump v Bloomberg has the feel of some future academic case study about the collapse of decadent empires,Cernovich,551074,3027,19,0
78,2020-02-16 22:06:52,RT @RichardGrenell: . @realDonaldTrump just called me from AF1 and instructed me to make clear that any nation who chooses to use an untrus…,Cernovich,551074,3027,10615,0
79,2020-02-16 21:59:21,"RT @Johnny_Joey: Not a sniper rifle, not trophy hunting. 

Wild boar are heavily over populated b/c of habitat for free range livestock as…",Cernovich,551074,3027,286,0
80,2020-02-16 21:47:08,@nychange @JoeBiden Thank you for your service.,Cernovich,551074,3027,12,112
81,2020-02-16 21:43:47,"RT @adamscrabble: I'm no fan of Bloomberg  but in the context he describes, is he wrong?

https://t.co/9O41c6bV04",Cernovich,551074,3027,15,0
82,2020-02-16 21:37:38,RT @BruceBeck4NY: Watching @timtebow interact with Special Olympians is absolutely magical! What a personal touch - what a wonderful “Meet…,Cernovich,551074,3027,887,0
83,2020-02-16 21:32:27,"RT @willchamberlain: Trump is a traitor to the billionaire class

Bloomberg is the champion of the billionaire class",Cernovich,551074,3027,242,0
84,2020-02-16 21:32:10,"RT @JamesAGagliano: Struggle w/this as many of my FBI, DOJ good friends, former colleagues are signatories. Respect their positions. But, A…",Cernovich,551074,3027,4979,0
85,2020-02-16 21:30:05,@kumandgo Here for the people who won’t get this,Cernovich,551074,3027,0,54
86,2020-02-16 21:27:15,RT @YesThatAnna: Two Chinese biologists released a report which suggests the coronavirus may have originated at one of two labs in Wuhan.…,Cernovich,551074,3027,351,0
87,2020-02-16 21:14:15,RT @mjpesquire: @bendreyfuss Found an old pod in my backpack today with a little left that turned out to be creme brulee. I savored the las…,Cernovich,551074,3027,9,0
